frame,tile_index,changed_bytes,first_byte,last_byte
17,0001,15,0,15
17,0002,13,1,15
17,0003,16,0,15
17,0004,13,0,14
17,0005,15,0,15
17,0006,15,0,15
17,0007,13,0,15
17,0008,14,0,15
17,0009,16,0,15
17,000A,14,0,15
17,000B,13,0,14
17,000C,14,0,15
17,000D,15,0,15
17,000E,14,0,15
17,000F,13,0,14
17,0010,12,1,15
17,0011,15,0,15
17,0012,12,1,15
17,0013,16,0,15
17,0014,16,0,15
17,0015,12,0,13
17,0016,14,0,15
17,0017,14,0,14
17,0018,16,0,15
17,0019,12,0,13
17,001A,13,0,15
17,001B,16,0,15
17,001E,3,0,2
17,001F,3,5,7
17,0020,16,0,15
17,0021,12,0,14
17,0022,15,0,15
17,0023,15,0,15
17,0024,15,0,15
17,0025,15,0,15
17,0026,12,0,15
17,0027,14,0,15
17,0028,9,3,11
17,0029,14,0,15
17,002A,16,0,15
17,002B,16,0,15
17,002C,15,1,15
17,002D,8,8,15
17,002E,16,0,15
17,002F,16,0,15
17,0030,10,3,15
17,0031,10,0,12
17,0032,16,0,15
17,0033,13,0,15
17,0034,15,0,15
17,0035,8,0,9
17,0036,8,4,15
17,0037,8,0,11
17,0038,8,4,15
17,0039,7,0,11
17,003A,4,6,15
17,003B,5,0,10
17,003C,8,4,15
17,003D,8,0,11
17,003E,3,0,2
17,0040,14,1,15
17,0041,16,0,15
17,0042,15,0,15
17,0043,13,0,12
17,0044,8,3,15
17,0045,8,0,10
17,0046,7,3,15
17,0047,5,0,11
17,0048,16,0,15
17,0049,15,0,15
17,004A,12,0,15
17,004B,8,8,15
17,004C,13,3,15
17,004D,16,0,15
17,004E,14,1,15
17,004F,13,0,14
17,0050,16,0,15
17,0051,12,0,14
17,0052,15,0,15
17,0053,12,0,14
17,0054,15,0,15
17,0055,16,0,15
17,0056,12,2,15
17,0057,12,0,13
17,0058,13,0,15
17,0059,16,0,15
17,005A,13,0,15
17,005B,13,0,14
17,005C,11,1,15
17,005D,15,0,14
17,005E,10,0,14
17,005F,15,0,14
17,0060,14,0,15
17,0061,16,0,15
17,0062,10,3,15
17,0063,10,0,12
17,0064,15,0,15
17,0065,15,0,15
17,0066,13,0,15
17,0067,15,0,14
17,0068,12,2,15
17,0069,13,0,14
17,006A,12,2,15
17,006B,9,0,10
17,006C,16,0,15
17,006D,14,0,15
17,006E,2,14,15
17,006F,8,8,15
17,0070,16,0,15
17,0071,16,0,15
17,0072,16,0,15
17,0073,16,0,15
17,0074,14,0,15
17,0075,16,0,15
17,0076,15,1,15
17,0077,16,0,15
17,0078,16,0,15
17,0079,15,0,15
17,007A,9,0,15
17,007B,10,1,15
17,007C,13,2,15
17,007D,13,0,14
17,007E,14,0,15
17,007F,14,0,13
17,0080,13,1,15
17,0081,16,0,15
17,0082,4,5,15
17,0083,6,0,9
17,0084,2,7,15
17,0085,4,0,9
17,0086,5,5,14
17,0087,4,0,9
17,0088,3,7,15
17,0089,1,8,8
17,008A,1,15,15
17,008B,1,8,8
17,008C,4,6,15
17,008D,4,0,9
17,009A,16,0,15
17,009C,16,0,15
17,009D,16,0,15
17,009E,12,2,15
17,009F,8,0,11
17,00A0,4,3,12
17,00A3,6,0,15
17,00A5,4,0,15
17,00A7,5,1,15
17,00A9,7,0,15
17,00AB,7,0,15
17,00AD,6,0,15
17,00AF,5,0,15
17,00B1,7,0,15
17,00B2,8,0,7
17,00B4,8,0,7
17,00B6,7,1,7
17,00B8,6,1,6
17,00BA,8,0,7
17,00BB,3,0,2
17,00BC,7,1,7
17,00BD,3,0,2
17,00BE,6,2,7
17,00BF,3,0,2
17,00C0,8,0,7
17,00C1,4,0,3
17,00C2,8,0,7
17,00C3,7,0,6
17,00C4,5,3,7
17,00C5,7,0,6
17,00C6,5,3,7
17,00C7,8,0,7
17,00C8,8,0,7
17,00C9,8,0,7
17,00CA,14,1,15
17,00CB,16,0,15
17,00CC,14,1,15
17,00CD,9,0,11
17,00CE,13,1,15
17,00CF,13,0,14
17,00D0,15,1,15
17,00D1,15,0,14
17,00D2,16,0,15
17,00D4,14,0,14
17,00D6,14,0,15
17,00D8,16,0,15
17,00D9,14,0,13
17,00DA,13,0,15
17,00DB,10,0,10
17,00DC,8,8,15
17,00DD,8,8,15
17,00DE,8,8,15
17,00DF,8,8,15
17,00E0,8,8,15
17,00E1,8,8,15
17,00E2,8,8,15
17,00E3,8,8,15
17,00E4,8,8,15
17,00E5,8,8,15
17,00E6,8,8,15
17,00E7,8,8,15
17,00E8,8,8,15
17,00E9,8,8,15
17,00EA,8,8,15
17,00EB,8,8,15
17,00EC,8,8,15
17,00ED,8,8,15
17,00EE,8,8,15
17,00EF,8,8,15
17,00F0,8,8,15
17,00F1,8,8,15
17,00F2,8,8,15
17,00F3,8,8,15
17,00F4,8,8,15
17,00F5,8,8,15
17,00F6,8,8,15
17,00F7,8,8,15
17,00F8,10,0,15
17,00F9,8,8,15
17,00FA,15,0,15
17,00FB,16,0,15
17,00FC,8,8,15
17,00FD,8,8,15
17,00FE,15,1,15
17,00FF,11,0,15
17,0100,7,0,6
17,0101,7,0,6
17,0102,7,0,6
17,0103,7,0,6
17,0104,7,0,6
17,0105,7,0,6
17,0106,7,0,6
17,0107,7,0,6
17,0108,7,0,6
17,0109,7,0,6
17,010A,7,0,6
17,010B,7,0,6
17,010C,7,0,6
17,010D,7,0,6
17,010E,7,0,6
17,010F,7,0,6
17,0110,7,0,6
17,0111,7,0,6
17,0112,7,0,6
17,0113,7,0,6
17,0114,7,0,6
17,0115,7,0,6
17,0116,7,0,6
17,0117,7,0,6
17,0118,7,0,6
17,0119,7,0,6
17,011A,7,0,6
17,011B,7,0,6
17,011C,7,0,6
17,011D,7,0,6
17,011E,7,0,6
17,011F,7,0,6
17,0120,7,0,6
17,0121,7,0,6
17,0122,7,0,6
17,0123,7,0,6
17,0125,8,0,7
17,0126,8,8,15
17,0127,16,0,15
17,0128,3,4,6
17,0129,6,0,6
17,012A,3,0,2
17,012B,7,0,6
17,012C,2,5,6
17,012D,3,0,2
17,012E,6,0,6
17,012F,1,3,3
17,0161,15,0,15
17,0162,1,3,3
17,0163,2,5,6
17,0164,7,0,6
17,0165,15,0,14
17,0166,16,0,15
17,0167,6,0,10
17,0168,15,0,15
17,0169,10,3,15
17,016A,4,3,12
17,016B,10,3,15
17,016C,16,0,15
17,016D,10,0,12
17,016E,10,0,12
17,016F,10,0,15
17,0171,10,2,14
17,0172,10,2,14
17,0173,10,2,14
17,0174,13,2,15
17,0175,13,2,15
17,0176,13,2,15
17,0177,13,2,15
17,0178,13,2,15
17,0179,9,4,15
17,017A,12,4,15
17,017B,14,2,15
17,017C,4,4,7
17,017D,9,0,15
17,017E,8,0,7
17,017F,15,0,15
17,0180,15,0,15
17,0181,9,0,15
17,0182,9,0,15
17,0183,16,0,15
17,0184,16,0,15
17,0185,16,0,15
17,0186,13,0,15
17,0187,9,0,15
17,0188,11,0,15
17,0189,16,0,15
17,018A,8,0,7
17,018B,3,5,7
17,018C,10,0,12
17,018D,13,0,12
17,018E,15,0,15
17,018F,16,0,15
17,0190,8,0,7
17,0191,10,0,9
17,0192,16,0,15
17,0193,16,0,15
17,0194,16,0,15
17,0195,13,0,15
17,0196,16,0,15
17,0197,16,0,15
17,0198,16,0,15
17,0199,16,0,15
17,019A,11,0,15
17,019B,9,0,15
17,019C,3,5,7
17,019D,8,0,7
17,019E,11,0,11
17,019F,12,0,11
17,01A0,12,1,15
17,01A1,12,0,11
17,01A2,12,0,11
